id,title,timestamp,reference,topics,oeil_subjects,eurovoc_concepts,result,topics_filled,topics_effective
170528,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29)",2024-11-14T11:47:28,B10-0156/2024,"Climate change, Climate and environment","Climate policy, climate change, ozone layer, International and regional environment protection measures and agreements",,ADOPTED,"Climate change, Climate and environment","Climate change, Climate and environment"
170351,People’s Republic of China’s misinterpretation of the UN resolution 2758 and its continuous military provocations around Taiwan,2024-10-24T12:17:02,RC-B10-0134/2024,,"Third-country political situation, local and regional conflicts",,ADOPTED,Foreign affairs,Foreign affairs
170366,"Situation in Azerbaijan, violation of human rights and international law and relations with Armenia",2024-10-24T12:14:51,RC-B10-0133/2024,,"Fundamental freedoms, human rights, democracy in general",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
169898,Guidelines for the employment policies of the Member States,2024-10-23T12:51:21,A10-0004/2024,Worker’s rights,"Employment: guidelines, actions, Funds","social integration, labour market, marginalisation, poverty, EU employment policy, job creation, EU Member State, social dialogue, equal treatment, working conditions",ADOPTED,Worker’s rights,Worker’s rights
169987,General budget of the European Union for the financial year 2025 – all sections,2024-10-23T12:45:30,A10-0008/2024,Economy and budget,2025 budget,"budgetary resources, general budget (EU), EU expenditure, draft budget (EU), financial year",REJECTED,Economy and budget,Economy and budget
169885,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2024/001 BE/Match-Smatch,2024-10-22T12:11:20,A10-0009/2024,"Worker’s rights, Economy and budget","Manufactured goods, Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF), 2024 budget","Province of Hainault, dismissal, Province of Liège, Province of Namur, reintegration into working life, retail trade, general budget (EU), globalisation, employment aid, commitment of expenditure, European Globalisation Adjustment Fund",ADOPTED,"Worker’s rights, Economy and budget","Worker’s rights, Economy and budget"
169887,Draft amending budget No 4/2024: update of revenue (own resources) and adjustments to some decentralised agencies,2024-10-22T12:10:05,A10-0007/2024,Economy and budget,"Financing of the budget, own resources, 2024 budget","EU financial instrument, budgetary resources, own resources, amending budget, general budget (EU), EU expenditure, EU office or agency, draft budget (EU), financial year",ADOPTED,Economy and budget,Economy and budget
169889,Establishing the Ukraine Loan Cooperation Mechanism and providing exceptional macro-financial assistance to Ukraine,2024-10-22T12:06:31,A10-0006/2024,,"Structural funds, investment funds in general, programmes, Macro-financial assistance to third countries","economic reconstruction, EU loan, European neighbourhood policy, EU aid, economic aid, financial aid, macro-financial assistance, Russo-Ukrainian issue",ADOPTED,"Economy and budget, Foreign affairs","Economy and budget, Foreign affairs"
169890,Draft amending budget No 2/2024: entering the surplus of the financial year 2023,2024-10-22T12:08:45,A10-0005/2024,Economy and budget,"2023 budget, 2024 budget","budgetary resources, amending budget, general budget (EU), draft budget (EU), budgetary equilibrium, financial year",ADOPTED,Economy and budget,Economy and budget
169894,2022 discharge: EU general budget – European Council and Council,2024-10-22T12:13:17,A10-0003/2024,Economy and budget,2022 discharge,,ADOPTED,Economy and budget,Economy and budget
169857,"The cases of unjustly imprisoned Uyghurs in China, notably Ilham Tohti and Gulshan Abbas",2024-10-10T12:23:40,B10-0101/2024,,,,ADOPTED,,
169770,Strengthening Moldova’s resilience against Russian interference ahead of the upcoming presidential elections and a constitutional referendum on EU integration,2024-10-09T12:42:41,RC-B10-0072/2024,,"Ethical information policy, Fundamental freedoms, human rights, democracy in general",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
